from	to	type	line	col1	col2	file
add1.cca	???::how	call	3	29	31	R/add1.cca.R
add1.cca	stats::update	call	17	19	24	R/add1.cca.R
add1.cca	stats::terms	call	17	26	30	R/add1.cca.R
add1.cca	stats::add.scope	call	19	22	30	R/add1.cca.R
add1.cca	stats::update.formula	call	19	40	53	R/add1.cca.R
add1.cca	stats::update	call	27	24	29	R/add1.cca.R
add1.cca	stats::update	call	28	25	30	R/add1.cca.R
add1.cca	stats::update	call	31	25	30	R/add1.cca.R
add1.cca	stats::as.formula	call	32	32	41	R/add1.cca.R
add1.cca	stats::anova	call	33	20	24	R/add1.cca.R
adipart.default	stats::as.formula	call	46	22	31	R/adipart.default.R
adipart.default	diversity	call	64	38	46	R/adipart.default.R
adipart.default	diversity	call	66	38	46	R/adipart.default.R
adipart.default	stats::model.matrix	call	73	59	70	R/adipart.default.R
adipart.default	stats::model.matrix	call	76	57	68	R/adipart.default.R
adipart.default	oecosimu	call	89	16	23	R/adipart.default.R
adipart.formula	hierParseFormula	call	9	12	27	R/adipart.formula.R
adipart.formula	adipart.default	call	11	12	26	R/adipart.formula.R
adipart	adipart.default	s3	NA	NA	NA	R/adipart.R
adipart	adipart.formula	s3	NA	NA	NA	R/adipart.R
adonis	stats::terms	call	15	14	18	R/adonis-deprecated.R
adonis	stats::model.frame	call	19	18	28	R/adonis-deprecated.R
adonis	stats::model.matrix	call	22	12	23	R/adonis-deprecated.R
adonis	stats::as.dist	call	47	16	22	R/adonis-deprecated.R
adonis	vegdist	call	49	31	37	R/adonis-deprecated.R
adonis	getPermuteMatrix	call	102	10	25	R/adonis-deprecated.R
adonis	parallel::makeCluster	call	115	25	35	R/adonis-deprecated.R
adonis	parallel::mclapply	call	121	35	42	R/adonis-deprecated.R
adonis	parallel::parSapply	call	128	28	36	R/adonis-deprecated.R
adonis	parallel::stopCluster	call	141	13	23	R/adonis-deprecated.R
adonis	howHead	call	156	31	37	R/adonis-deprecated.R
adonis2	stats::model.frame	call	9	17	27	R/adonis.R
adonis2	stats::delete.response	call	9	29	43	R/adonis.R
adonis2	stats::terms	call	9	45	49	R/adonis.R
adonis2	stats::as.dist	call	21	16	22	R/adonis.R
adonis2	vegdist	call	23	16	22	R/adonis.R
adonis2	addLingoes	call	32	19	28	R/adonis.R
adonis2	addCailliez	call	36	19	29	R/adonis.R
adonis2	stats::terms	call	42	20	24	R/adonis.R
adonis2	stats::model.frame	call	44	17	27	R/adonis.R
adonis2	stats::delete.response	call	44	29	43	R/adonis.R
adonis2	stats::terms	call	44	45	49	R/adonis.R
adonis2	stats::update	call	46	16	21	R/adonis.R
adonis2	adonis0	call	47	12	18	R/adonis.R
adonis2	getPermuteMatrix	call	49	13	28	R/adonis.R
adonis2	stats::anova	call	50	12	16	R/adonis.R
adonis2	stats::nobs	call	55	35	38	R/adonis.R
adonis0	stats::terms	call	70	13	17	R/adonis.R
adonis0	stats::model.matrix	call	80	12	23	R/adonis.R
adonis0	stats::na.action	call	94	25	33	R/adonis.R
adonis0	initDBRDA	call	100	10	18	R/adonis.R
AIC.radfit	stats::AIC	call	NA	NA	NA	R/AIC.radfit.R
deviance.radfit	stats::deviance	call	NA	NA	NA	R/AIC.radfit.R
logLik.radfit	stats::logLik	call	NA	NA	NA	R/AIC.radfit.R
AIC.radfit.frame	stats::AIC	call	NA	NA	NA	R/AIC.radfit.R
deviance.radfit.frame	stats::deviance	call	NA	NA	NA	R/AIC.radfit.R
logLik.radfit.frame	stats::logLik	call	NA	NA	NA	R/AIC.radfit.R
anosim	stats::as.dist	call	9	18	24	R/anosim.R
anosim	vegdist	call	13	18	24	R/anosim.R
anosim	stats::as.dist	call	32	23	29	R/anosim.R
anosim	stats::as.dist	call	33	23	29	R/anosim.R
anosim	getPermuteMatrix	call	50	15	30	R/anosim.R
anosim	parallel::mclapply	call	63	32	39	R/anosim.R
anosim	parallel::makeCluster	call	69	33	43	R/anosim.R
anosim	parallel::parRapply	call	71	25	33	R/anosim.R
anosim	parallel::stopCluster	call	73	21	31	R/anosim.R
anova.betadisper	stats::anova	call	8	5	9	R/anova.betadisper.R
anova.betadisper	stats::lm	call	8	11	12	R/anova.betadisper.R
anova.cca	???::how	call	2	42	44	R/anova.cca.R
anova.cca	getPermuteMatrix	call	11	21	36	R/anova.cca.R
anova.cca	anovaCCAlist	call	24	17	28	R/anova.cca.R
anova.cca	anovaCCAnull	call	36	16	27	R/anova.cca.R
anova.cca	anovaCCAbyterm	call	43	33	46	R/anova.cca.R
anova.cca	anovaCCAbymargin	call	46	34	49	R/anova.cca.R
anova.cca	anovaCCAbyaxis	call	50	32	45	R/anova.cca.R
anova.cca	anovaCCAby1df	call	54	33	45	R/anova.cca.R
anova.cca	permutest.cca	call	64	12	24	R/anova.cca.R
anova.cca	howHead	call	78	42	48	R/anova.cca.R
anovaCCAbyterm	permutest	call	14	12	20	R/anova.ccabyterm.R
anovaCCAbyterm	howHead	call	33	20	26	R/anova.ccabyterm.R
anovaCCAbymargin	stats::drop.scope	call	62	17	26	R/anova.ccabyterm.R
anovaCCAbymargin	stats::terms	call	64	31	35	R/anova.ccabyterm.R
anovaCCAbymargin	stats::terms	call	65	31	35	R/anova.ccabyterm.R
anovaCCAbymargin	permutest	call	70	12	20	R/anova.ccabyterm.R
anovaCCAbymargin	ordiYbar	call	78	10	17	R/anova.ccabyterm.R
anovaCCAbymargin	stats::model.matrix	call	79	10	21	R/anova.ccabyterm.R
anovaCCAbymargin	permutest	call	95	13	21	R/anova.ccabyterm.R
anovaCCAbymargin	ordConstrained	call	95	23	36	R/anova.ccabyterm.R
anovaCCAbymargin	howHead	call	132	20	26	R/anova.ccabyterm.R
anovaCCAbyaxis	stats::nobs	call	168	14	17	R/anova.ccabyterm.R
anovaCCAbyaxis	howHead	call	183	20	26	R/anova.ccabyterm.R
anovaCCAbyaxis	stats::model.matrix	call	194	10	21	R/anova.ccabyterm.R
anovaCCAbyaxis	ordConstrained	call	208	17	30	R/anova.ccabyterm.R
anovaCCAbyaxis	permutest	call	212	20	28	R/anova.ccabyterm.R
anovaCCAbyaxis	permutest	call	215	20	28	R/anova.ccabyterm.R
anovaCCAby1df	permutest	call	243	12	20	R/anova.ccabyterm.R
anovaCCAby1df	howHead	call	262	20	26	R/anova.ccabyterm.R
anovaCCAlist	stats::formula	call	21	48	54	R/anova.ccalist.R
anovaCCAlist	stats::terms	call	31	47	51	R/anova.ccalist.R
anovaCCAlist	permutest.cca	call	50	20	32	R/anova.ccalist.R
anovaCCAlist	stats::formula	call	90	44	50	R/anova.ccalist.R
anovaCCAlist	howHead	call	93	20	26	R/anova.ccalist.R
anovaCCAlist	stats::nobs	call	NA	NA	NA	R/anova.ccalist.R
anova.prc	stats::as.formula	call	12	16	25	R/anova.prc.R
anova.prc	stats::anova	call	20	9	13	R/anova.prc.R
as.hclust.spantree	hclustMergeOrder	call	33	14	29	R/as.hclust.spantree.R
reorder.hclust	stats::weighted.mean	call	107	29	41	R/as.hclust.spantree.R
reorder.hclust	hclustMergeOrder	call	115	14	29	R/as.hclust.spantree.R
scores.hclust	stats::reorder	call	156	15	21	R/as.hclust.spantree.R
cutreeord	stats::cutree	call	170	12	17	R/as.hclust.spantree.R
as.rad	as.rad	call	NA	NA	NA	R/as.rad.R
as.ts.oecosimu	stats::ts	call	11	12	13	R/as.ts.oecosimu.R
as.ts.permat	stats::is.ts	call	6	10	14	R/as.ts.permat.R
as.ts.permat	make.commsim	call	7	30	41	R/as.ts.permat.R
as.ts.permat	make.commsim	call	7	58	69	R/as.ts.permat.R
avgdist	rrarefy	call	30	39	45	R/avgdist.R
avgdist	stats::as.dist	call	58	15	21	R/avgdist.R
betadisper	ordimedian	call	18	21	30	R/betadisper.R
betadisper	ordimedian	call	19	21	30	R/betadisper.R
betadisper	addLingoes	call	58	19	28	R/betadisper.R
betadisper	addCailliez	call	62	19	29	R/betadisper.R
betadiver	stats::as.dist	call	32	10	16	R/betadiver.R
betadiver	stats::as.dist	call	35	10	16	R/betadiver.R
betadiver	stats::as.dist	call	36	10	16	R/betadiver.R
betadiver	stats::as.dist	call	43	12	18	R/betadiver.R
bgdispersal	decostand	call	5	20	28	R/bgdispersal.R
bgdispersal	decostand	call	10	17	25	R/bgdispersal.R
bgdispersal	stats::pchisq	call	39	33	38	R/bgdispersal.R
bioenv.default	stats::cor	call	14	13	15	R/bioenv.default.R
bioenv.default	stats::cor	call	18	20	22	R/bioenv.default.R
bioenv.default	stats::cor	call	19	20	22	R/bioenv.default.R
bioenv.default	stats::cor	call	20	20	22	R/bioenv.default.R
bioenv.default	stats::dist	call	29	20	23	R/bioenv.default.R
bioenv.default	utils::flush.console	call	51	9	21	R/bioenv.default.R
bioenv.default	stats::dist	call	56	32	35	R/bioenv.default.R
bioenv.default	stats::dist	call	59	32	35	R/bioenv.default.R
bioenv.default	veganMahatrans	call	59	37	50	R/bioenv.default.R
bioenv.default	cluster::daisy	call	62	32	36	R/bioenv.default.R
bioenv.default	decostand	call	64	14	22	R/bioenv.default.R
bioenv.default	stats::dist	call	65	32	35	R/bioenv.default.R
bioenv.default	stats::as.dist	call	77	19	25	R/bioenv.default.R
bioenv.default	vegdist	call	80	19	25	R/bioenv.default.R
bioenv.default	parallel::makeCluster	call	89	21	31	R/bioenv.default.R
bioenv.default	parallel::stopCluster	call	90	17	27	R/bioenv.default.R
bioenv.default	utils::flush.console	call	104	13	25	R/bioenv.default.R
bioenv.default	utils::combn	call	106	19	23	R/bioenv.default.R
bioenv.default	parallel::mclapply	call	111	31	38	R/bioenv.default.R
bioenv.default	parallel::parSapply	call	117	24	32	R/bioenv.default.R
bioenv.default	utils::flush.console	call	131	13	25	R/bioenv.default.R
bioenv.formula	stats::model.frame	call	10	12	22	R/bioenv.formula.R
bioenv.formula	bioenv	call	11	12	17	R/bioenv.formula.R
bioenv	bioenv.default	s3	NA	NA	NA	R/bioenv.R
bioenv	bioenv.formula	s3	NA	NA	NA	R/bioenv.R
biplot.CCorA	graphics::par	call	5	13	15	R/biplot.CCorA.R
biplot.CCorA	graphics::par	call	6	13	15	R/biplot.CCorA.R
biplot.CCorA	graphics::par	call	45	17	19	R/biplot.CCorA.R
biplot.CCorA	graphics::points	call	47	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	48	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	49	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::points	call	52	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	53	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	54	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::par	call	59	17	19	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	62	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::arrows	call	63	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::abline	call	64	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	65	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	66	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	67	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	71	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::arrows	call	72	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::abline	call	73	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	74	13	17	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	75	13	17	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	76	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::layout	call	82	9	14	R/biplot.CCorA.R
biplot.CCorA	graphics::par	call	84	9	11	R/biplot.CCorA.R
biplot.CCorA	graphics::points	call	87	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	88	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	89	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::points	call	92	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	93	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	94	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	98	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::arrows	call	99	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::abline	call	100	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	101	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	102	17	21	R/biplot.CCorA.R
biplot.CCorA	graphics::text	call	106	17	20	R/biplot.CCorA.R
biplot.CCorA	graphics::arrows	call	107	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::abline	call	108	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	109	13	17	R/biplot.CCorA.R
biplot.CCorA	graphics::lines	call	110	13	17	R/biplot.CCorA.R
biplot.CCorA	graphics::par	call	115	17	19	R/biplot.CCorA.R
biplot.CCorA	stats::biplot	call	116	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	118	17	21	R/biplot.CCorA.R
biplot.CCorA	stats::biplot	call	120	17	22	R/biplot.CCorA.R
biplot.CCorA	graphics::title	call	122	17	21	R/biplot.CCorA.R
biplot.rda	scores	call	27	8	13	R/biplot.rda.R
biplot.rda	graphics::abline	call	49	3	8	R/biplot.rda.R
biplot.rda	graphics::abline	call	50	3	8	R/biplot.rda.R
biplot.rda	graphics::arrows	call	57	11	16	R/biplot.rda.R
biplot.rda	graphics::text	call	60	11	14	R/biplot.rda.R
biplot.rda	graphics::text	call	65	11	14	R/biplot.rda.R
biplot.rda	graphics::points	call	67	11	16	R/biplot.rda.R
boxplot.betadisper	graphics::boxplot	call	2	10	16	R/boxplot.betadisper.R
boxplot.specaccum	graphics::boxplot	call	10	12	18	R/boxplot.specaccum.R
bstick.cca	bstick.default	call	17	12	25	R/bstick.cca.R
bstick.decorana	bstick.default	call	7	12	25	R/bstick.decorana.R
bstick.prcomp	bstick.default	call	8	12	25	R/bstick.prcomp.R
bstick.princomp	bstick.default	call	8	12	25	R/bstick.princomp.R
bstick	bstick.cca	s3	NA	NA	NA	R/bstick.R
bstick	bstick.decorana	s3	NA	NA	NA	R/bstick.R
bstick	bstick.default	s3	NA	NA	NA	R/bstick.R
bstick	bstick.prcomp	s3	NA	NA	NA	R/bstick.R
bstick	bstick.princomp	s3	NA	NA	NA	R/bstick.R
ca	cca	call	6	10	12	R/ca.R
calibrate.cca	stats::predict	call	24	15	21	R/calibrate.cca.R
calibrate.cca	stats::coef	call	26	11	14	R/calibrate.cca.R
calibrate.ordisurf	stats::predict	call	5	16	22	R/calibrate.ordisurf.R
calibrate.ordisurf	stats::predict	call	16	16	22	R/calibrate.ordisurf.R
calibrate	calibrate.cca	s3	NA	NA	NA	R/calibrate.R
calibrate	calibrate.ordisurf	s3	NA	NA	NA	R/calibrate.R
capscale	stats::terms	call	15	24	28	R/capscale.R
capscale	stats::as.dist	call	24	14	20	R/capscale.R
capscale	ordiParseFormula	call	57	10	25	R/capscale.R
capscale	stats::as.dist	call	73	10	16	R/capscale.R
capscale	wcmdscale	call	87	10	18	R/capscale.R
capscale	ordConstrained	call	98	12	25	R/capscale.R
capscale	decostand	call	122	26	34	R/capscale.R
capscale	decostand	call	127	25	33	R/capscale.R
capscale	getCentroids	call	138	26	37	R/capscale.R
capscale	stats::terms	call	141	18	22	R/capscale.R
capscale	ordiTerminfo	call	142	21	32	R/capscale.R
capscale	ordiNAexclude	call	158	16	28	R/capscale.R
capscale	stats::sd	call	NA	NA	NA	R/capscale.R
cascadeKM	stats::kmeans	call	53	9	14	R/cascadeKM.R
cascadeKM	parallel::makeCluster	call	58	23	33	R/cascadeKM.R
cascadeKM	parallel::parLapply	call	59	20	28	R/cascadeKM.R
cascadeKM	stats::kmeans	call	60	17	22	R/cascadeKM.R
cascadeKM	parallel::stopCluster	call	62	17	27	R/cascadeKM.R
cascadeKM	parallel::mclapply	call	64	20	27	R/cascadeKM.R
cascadeKM	stats::kmeans	call	65	17	22	R/cascadeKM.R
cascadeKM	cIndexKM	call	83	26	33	R/cascadeKM.R
cca.default	stats::model.matrix	call	13	18	29	R/cca.default.R
cca.default	stats::model.matrix	call	19	18	29	R/cca.default.R
cca.default	ordConstrained	call	31	12	25	R/cca.default.R
